suburb_name,NH_geometry,f0_
South Hobart,POINT(147.303536564975 -42.8966268976397),POINT(147.303536564975 -42.8966268976397)
Colebrook,"LINESTRING(147.338332055006 -42.5192511715666, 147.350256351752 -42.5282515398166, 147.362184084992 -42.5372506714942)",POINT(147.350256351752 -42.5282515398166)
Lawitta,"LINESTRING(147.035018059724 -42.7742104993329, 147.031903453324 -42.7718925415373, 147.028789080054 -42.7695744993488)",POINT(147.031903453325 -42.7718925415373)
Mangalore (Tas.),"LINESTRING(147.236196875009 -42.6593750281891, 147.239487500013 -42.6593750752826, 147.242778125017 -42.6593750281974)",POINT(147.239487500013 -42.6593750752826)
Downlands,"POLYGON((145.895257184964 -41.0828137909299, 145.895257184935 -41.0819920117911, 145.895257184881 -41.0811702362935, 145.893828570139 -41.0803484612705, 145.892399955043 -41.0811702363164, 145.890971345055 -41.0819920116872, 145.890971344955 -41.0828137909419, 145.892399954985 -41.0836355667352, 145.893828570082 -41.0836355666417, 145.895257184964 -41.0828137909299))",POINT(145.893296347448 -41.0821692583537)
Glenfern (Tas.),"LINESTRING(147.018938000022 -42.7882919788282, 147.018937999964 -42.7870177942641, 147.018937999919 -42.7857436087651)",POINT(147.018937999967 -42.7870177937967)
Wivenhoe,"POLYGON((145.937860845017 -41.0683099526671, 145.92803927996 -41.0711698525895, 145.930003594877 -41.0711698526433, 145.933932220034 -41.0702165527284, 145.937860845017 -41.0683099526671))",POINT(145.932753676168 -41.0700895192414)
Allens Rivulet,POINT(147.205873125005 -43.0143237608193),POINT(147.205873125005 -43.0143237608193)
Boat Harbour Beach,POINT(145.617346874634 -40.9291898451116),POINT(145.617346874634 -40.9291898451116)
Gawler (Tas.),POINT(146.158782060047 -41.1836167214676),POINT(146.158782060047 -41.1836167214676)
Redpa,"POLYGON((144.847243625008 -40.9620647126521, 144.847243625001 -40.954792397639, 144.741941574994 -40.9184308326776, 144.756984724999 -40.9475200826726, 144.787071024977 -40.9547923976116, 144.847243625008 -40.9620647126521))",POINT(144.789813045849 -40.9440093974592)
Taranna,"POLYGON((147.865668789993 -43.0563582455624, 147.865668790052 -43.0390669206312, 147.865668789982 -43.0361850354464, 147.864376764745 -43.0361850354268, 147.863084740231 -43.0361850354634, 147.856624610033 -43.0534763606794, 147.86050069004 -43.0563582455594, 147.865668789993 -43.0563582455624))",POINT(147.862389270542 -43.047845300721)
Hampshire,"POLYGON((145.776206250427 -41.2619868628748, 145.775606750057 -41.2588726130716, 145.775007249833 -41.2557583631412, 145.774407749181 -41.2526441129339, 145.773808250144 -41.2495298631856, 145.773208749897 -41.246415612898, 145.772609249802 -41.2433013630461, 145.772009749807 -41.2401871130139, 145.772009749934 -41.2433013630288, 145.775606749988 -41.2619868628653, 145.776206250427 -41.2619868628748))",POINT(145.773961725134 -41.2518452842204)
West Launceston,"POLYGON((147.133467314947 -41.4514420637631, 147.13346731492 -41.4484031886645, 147.129667440021 -41.4484031887708, 147.12586756506 -41.4514420638077, 147.122067689992 -41.4575198187009, 147.133467314947 -41.4514420637631))",POINT(147.128581900248 -41.4520209817226)
Warrane,"POLYGON((147.383884715068 -42.8587269678905, 147.379903539947 -42.8587269677579, 147.37592236 -42.8587269678031, 147.371941184972 -42.8639614979742, 147.375922359989 -42.8639614979155, 147.383884715068 -42.8587269678905))",POINT(147.377249605796 -42.861053433259)
Conara,"POLYGON((147.438221434983 -41.8314088761011, 147.43822143478 -41.831192125618, 147.437947810222 -41.8311921239949, 147.437947810093 -41.8314088759909, 147.437947810236 -41.8316256238884, 147.438221434983 -41.8314088761011))",POINT(147.438069418313 -41.8313607067297)
Cygnet,"POLYGON((147.080799064996 -43.1617244782066, 147.072455934982 -43.156474053158, 147.072455934972 -43.1617244782089, 147.080799064996 -43.1617244782066))",POINT(147.07523689859 -43.1599744039709)
Don,"POLYGON((146.325632815004 -41.1832078026469, 146.319936439991 -41.1832078026426, 146.314240060017 -41.1832078026048, 146.325632815004 -41.1832078026469))",POINT(146.31993643842 -41.1832041122025)
East Ridgley,"POLYGON((145.874928429947 -41.1571421590327, 145.874928429947 -41.1558864246049, 145.869549495043 -41.1546306888603, 145.86417055998 -41.1533749496602, 145.858791620023 -41.1521192093764, 145.853412679984 -41.1508634689412, 145.848033745044 -41.1496077343668, 145.84265480999 -41.1483519993611, 145.837275869978 -41.1483519993498, 145.83727586999 -41.152119209239, 145.837275870001 -41.1546306888513, 145.848033745045 -41.1558864246219, 145.864170560002 -41.1571421589538, 145.874928429947 -41.1571421590327))",POINT(145.852363599021 -41.1534148727782)
Longley,"POLYGON((147.196589265043 -42.9819933582141, 147.196589265025 -42.9736460434043, 147.196589265013 -42.9708636031577, 147.19192048998 -42.9792109231358, 147.196589265043 -42.9819933582141))",POINT(147.195033053488 -42.9773559825141)
Loira,"POLYGON((146.919834140091 -41.2688588851847, 146.916566415055 -41.2643344151833, 146.906763239915 -41.2552854602112, 146.903495515025 -41.2530232248439, 146.900227784968 -41.2530232248085, 146.896960059939 -41.2530232249108, 146.919834140091 -41.2688588851847))",POINT(146.907972895824 -41.2588888322193)
